"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Axis.16","Axis.17","Axis.18","Axis.19","Axis.20","Axis.21","Axis.22","Axis.23","Axis.24","Axis.25","Axis.26","Axis.27","Axis.28","Axis.29","Axis.30","Axis.31","Axis.32","Axis.33","Axis.34","Axis.35","Axis.36","Axis.37","Axis.38","Axis.39","Axis.40","Axis.41","Axis.42","Axis.43"
"A",0.285928999045631,0.249298060846534,0.0568050819064298,-0.130746910020341,-0.043774882570538,-0.167709515926188,0.0481021798081076,-0.0122322850650184,-0.0557397605512224,-0.069440731404517,0.0466809352065672,-0.0310369503718443,-0.0345324251743951,0.012182411705875,0.129142048917954,-0.0860687895954505,-0.0284540405530895,0.0175880543009431,-0.0455841177809102,0.00262242857821892,-0.0528040212214042,0.0452459037952882,0.0146751831458061,-0.0250390757112736,-0.0247900061713482,-0.00922861305469589,0.00454022447492407,0.0159724615265534,0.0213605199720444,0.0467982208898831,0.00460275296480213,0.0165748339816816,0.00217352851958973,-0.00520587322066771,0.0100377129832215,-0.0169793890647685,0.0168449775431738,-0.0154476024530595,-0.00803090495017795,0.00658398389207426,0.009945476458992,-0.00109423303908524,-0.00393134176868232
"A.1",0.338595456192561,0.213454243434759,0.0190537138133263,-0.10913914728426,-0.037205338828671,-0.0825280289139961,0.0857860831031203,-0.0562093460981441,0.0343218674577069,-0.0148923437127592,0.0548273867911181,-0.0191912847439401,0.0383388002518964,-0.0428729124297208,0.11174444800259,-0.00613087440647569,-0.042504220825703,0.00750521273310223,0.0197069059784542,-0.0482930706754391,0.059788007242599,-0.0591532590832231,-0.0155861711255964,0.0629130227039715,0.0204225587553579,-0.0164541446358378,0.0236146017680515,-0.0258167430579291,-0.0121117380392471,-0.0126106168881605,0.00729106189394326,-0.0314231924922777,-0.00870435495095917,0.0301348281651648,-0.0126238001522008,-0.01943161443659,0.0248154804656259,0.00402696683288046,0.0164573855103527,0.00845863707902071,0.00135567570775304,-0.00457469649587826,0.00440251016740939
"A.2",0.304657233929666,0.23467265560567,0.0460031135766703,-0.118251784512067,-0.0420736478457359,-0.143460741953832,0.0541883051826631,-0.0273152457276767,-0.028382678879744,-0.0371199083247343,0.0415074799545516,-0.0562346548579287,-0.033594236014247,0.00291719380541582,0.112031397670384,-0.0452846057181125,-0.0426295104121611,0.0211686559337652,-0.0258212134599557,-0.015266768430166,-0.0180638305129498,0.0065370757058209,0.00943602751962096,-0.0269909901824625,0.0112468901543236,0.0203847876678167,0.02989845102413,0.0108151632087121,-0.0179473209250056,-0.0229257185644395,-0.0182382176128392,0.0218279252161985,-0.0126027027298933,-0.0309611263490885,-0.00399464379661136,0.0265796904629694,-0.0257828356650557,0.0109421516125252,-0.00161268294143053,-0.0134531738994251,-0.0126302044394218,0.00449315757949359,0.00472857741014214
"A.3",0.365195592274078,0.135636119372807,-0.0526876944685706,0.0663563861681011,-0.0447131448639796,0.0350221983705502,0.0754967921642479,-0.0754354685839467,-0.0783478467125947,-0.0729600754014393,0.0959759926616261,0.0262607750348925,0.0266854315427215,-0.0303646266285019,-0.0589712281341555,-0.0222359483813843,-0.010741068773514,-0.0216541457158241,0.0708154648974238,-0.0159995973239074,0.024403729561869,-0.0149930069886789,0.0249533151330308,0.00628737047116556,-0.0716604022411035,0.00776242506319344,-0.000381078222431601,0.0124945527911394,0.040671812575984,-0.00644656593196835,-0.0168104145189704,-0.0184318137898312,-0.000260638644982077,-0.00148809404624241,0.00083765266373717,0.00677737899077863,-0.0180153381807157,-0.0121577712527407,-0.0111763311173704,0.0127214463019097,0.00283454422842654,-0.000786730958470632,-0.00283814539567336
"A.4",0.368631563058062,0.151540186687393,-0.0261307475154144,-0.0284928125750453,-0.0548153188822338,0.0685819638443358,0.0966529722097541,-0.026066674162049,-0.0515210921847482,-0.0352306228871469,0.103521294248024,0.0639613101959459,0.0108130106389432,-0.0741391999141331,-0.0916595490093689,-0.0293269675304877,-0.047292353963691,-0.025166942162375,0.0738837940027528,0.0200959023435257,-0.0177171641031634,0.00531505267724805,-0.00531033263971615,0.00464968716240234,0.0377880086619827,0.0183826767149497,-0.00320805176827578,-0.0188411980327011,0.0129898340763512,0.0392683967426092,-0.00639142185494309,0.00525189212936754,0.0151091601122032,-0.00590843317438726,-0.0277800518357351,-0.0124218564941109,-0.00881846569292079,0.00388252572597994,-0.00835312472914534,-0.0205187180671744,0.00317265314160515,-0.00599685513291818,0.00248289982775398
"A.5",0.367880650833752,0.151899444190499,-0.0464120295971565,-0.00993589347136889,-0.057665666115568,0.0580331012897734,0.0969834708033396,-0.0109756284374054,-0.0344881020489693,-0.0476758800374468,0.0716156341851656,0.0405186410169459,-0.00316238646404006,-0.0593517551525518,-0.0654978632140119,-0.0175621268111758,-0.0565924320215096,-0.00673359188847443,0.0790029873224505,0.0332513184045595,-0.021268253490363,-0.0150884958829324,-0.0179428252756787,-0.0305134784792556,0.0227555721146755,0.0153313849166052,-0.0165767831463341,0.00136903193892922,-0.0564522329508227,-0.0221474394340874,0.0266096054637021,0.00240710417820224,-0.016438369583291,0.00318538096401452,0.0254427628158909,0.0197543465025216,0.0197516980581906,0.0123421239106635,0.00980736774426897,0.0109874418663783,-0.00053508892794267,0.00597534913267232,-0.00243496286834435
"A.6",0.350770145614856,0.164148522440418,-0.00643054354830595,-0.0497913445989601,-0.0372382730320096,0.0529101842076163,0.0684338866346152,0.0321272668255902,0.00283667133445419,0.027607092675245,-0.00854280117210694,0.027683487573726,0.021470352542997,0.0077192245677703,-0.0122095395298902,0.0415881142240945,0.0718717085481585,0.0146884437613513,-0.087552405577061,0.0320162712593937,-0.0271788371884321,-0.0120156334671283,-0.0318875265316486,-0.0469821037468148,0.0289625010504203,-0.0405998627610488,0.00512052106840258,-0.0495268348510441,-0.0432630752920288,0.00976920822440391,-0.0215774248678421,0.00173555758353995,0.00096648598656093,0.014857887288503,-0.00403074225005245,-0.0246109372818595,0.00524286648098134,-0.0108012836144348,-0.0294401529806082,0.00471727053561683,-0.0051143617429014,-0.00346267652957134,0.00340544992411272
"A.7",0.353910114480924,0.233211557549427,0.00014702986282884,-0.133137499235799,-0.0700451527378063,-0.0229169126997563,0.0619946294131338,-0.0185352150201104,0.00356606153723876,0.0257698570974541,0.0503078736847013,0.022285035495727,0.0496281823474917,0.0130298788213124,-0.00859945137463015,0.0333627995932473,0.172543521557664,-0.0567389687417613,0.00899306420755126,-0.0197379827374954,0.0440772938160013,0.00137354522252708,0.00405314260346645,-0.0246723868232034,-0.0132690596114854,-0.0079907188009489,-0.0339893127422059,0.00101467586578263,0.017411766552204,-0.00403511164725497,0.0213007149779404,-0.0117122582478545,-0.000904694024970267,0.00770505272754409,0.00266327268467223,0.00636422990937507,-0.0214731146313198,0.0129758055208282,-0.00312417062830266,-0.00561076853947353,-0.00327766152950606,0.0116708393928715,-0.00406582316144847
"A.8",0.369041455838185,0.187935519836785,-0.0325902464032952,-0.0536158556511214,-0.0608845053801403,0.039204611918185,0.0904899301421743,-0.00155917544872768,-0.0227013572971674,0.0437605715861692,0.0265241435080199,0.0427891172676995,0.0242055816644639,0.0565660296275708,-0.0587545130687397,0.0489157283389103,0.115311513292013,-0.0170760982121476,-0.0444812524994904,-0.00751366263462404,0.00196054197793853,0.00452622225666106,-0.00312170014383392,0.00501086985835299,0.00132647029507891,0.0147685832780095,0.0186716296293061,0.0133894480549903,0.00897801844852306,-0.00825387744317947,-0.0149428626252909,0.023957750649154,0.0099535138290202,-0.0122896514336011,0.00651103979372799,0.0173806758393788,0.0213155067996743,-0.0123201834898432,0.0304972564914836,-3.48821733569446e-05,0.00277838704903969,-0.0115297224262031,0.00135570682906266
"A.9",0.281839526260063,0.134930341728525,0.0318714030911239,0.0790959622559962,-0.00798239634165901,0.109175832604108,0.00965274580676175,0.0111123288217166,-0.0574876310229343,-0.00672222221611892,-0.224363376968144,-0.0398215614109603,-0.0284624679427708,-0.0249467328760415,0.0128954143853557,0.026739571998971,0.0128707185548942,-0.00611217156856522,0.0243334608305909,-0.0232951164768041,8.56373673752579e-05,0.00668974879732991,-0.00292754953803331,0.00351074806370428,-0.0411419516831188,0.000900556289246628,-0.00894812529646654,0.0186884060479502,-0.00249728946261494,-0.0245722981222815,0.0201915069147508,0.0158879435453985,-0.0521477016685068,-0.0136495829038426,-0.00606317013958243,-0.0178509846534786,0.0259657449582385,0.00859084842540739,-0.0134025586738434,-0.0149723283113466,-0.000732989129975079,0.000319998011312072,0.00103498487892544
