ASVID,baseMean,log2FC,pvalue,RA,tax,level
ASV10,13.24561638,-0.087297886,0.988488787,0.31,Others,NonSig
ASV100,10.00698738,-1.177648429,0.284106578,0.25,Comamonadaceae,NonSig
ASV101,11.81173453,-2.936291444,0.049150012,0.33,Sphingomonadaceae,Depleted
ASV102,11.48307717,-0.561680116,0.105861172,0.3,Others,NonSig
ASV104,1.29843388,-1.983199693,0.465965639,0.24,Pseudomonadaceae,NonSig
ASV105,11.9588118,0.113209331,0.83338529,0.31,Nocardioidaceae,NonSig
ASV106,11.58242802,-3.852579841,0.003221698,0.33,Others,Depleted
ASV107,9.429388492,-2.10222417,0.022702735,0.26,Caulobacteraceae,Depleted
ASV108,12.32691067,0.829427897,0.247104619,0.34,Bacillaceae,NonSig
ASV110,12.05359041,-7.082553375,7.18E-06,0.35,Others,Depleted
ASV111,9.440454304,-1.174467601,0.176142664,0.26,Sphingomonadaceae,NonSig
ASV112,9.675883213,-2.971006946,0.007046336,0.27,Microbacteriaceae,Depleted
ASV113,9.327288866,-3.176462947,0.000342373,0.27,Microbacteriaceae,Depleted
ASV114,9.877708763,-0.454297801,0.733997404,0.24,Comamonadaceae,NonSig
ASV117,9.396875883,0.096495764,0.929491347,0.25,Rhizobiaceae,NonSig
ASV118,9.095890369,-3.35822523,0.000638719,0.25,Others,Depleted
ASV12,11.85397024,5.90631459,0.00023166,0.26,Others,NonSig
ASV120,11.30879111,1.898348348,0.030213417,0.32,Rhizobiaceae,Enrich
ASV121,7.963562537,-3.279326532,2.55E-07,0.23,Xanthomonadaceae,Depleted
ASV123,9.340545251,3.352708644,0.105861172,0.18,Alcaligenaceae,NonSig
ASV127,7.561704529,-1.617009242,0.149862342,0.2,Rhizobiaceae,NonSig
ASV128,9.486352268,-2.747190623,0.001041523,0.26,Sphingomonadaceae,Depleted
ASV129,8.259421837,1.186052937,0.165886999,0.22,Rhizobiaceae,NonSig
ASV132,5.850694396,-1.544863389,0.124875549,0.17,Others,NonSig
ASV134,3.109789512,0.865028554,0.704019481,0.07,Rhizobiaceae,NonSig
ASV135,7.538143113,-1.338676912,0.256772431,0.2,Paenibacillaceae,NonSig
ASV137,6.656600799,-2.137215545,0.038865569,0.18,Others,Depleted
ASV138,1.124454625,-0.184514413,0.958647441,0.03,Nocardioidaceae,NonSig
ASV141,5.182805417,0.953791727,0.663314846,0.11,Others,NonSig
ASV142,1.064646919,3.049592166,0.373973256,0.03,Microbacteriaceae,NonSig
ASV143,6.663123567,-0.970556672,0.056176977,0.18,Bacillaceae,NonSig
ASV144,6.025419799,-2.869239331,0.026928495,0.16,Paenibacillaceae,Depleted
ASV147,6.083267602,-1.284529113,0.149862342,0.17,Others,NonSig
ASV15,92.3102454,6.272703873,8.92E-07,2.15,Comamonadaceae,Enrich
ASV150,3.538387437,-0.675756693,0.794126843,0.09,Rhizobiaceae,NonSig
ASV151,5.226592392,-1.624407062,0.213603797,0.14,Bacillaceae,NonSig
