ASVID,baseMean,log2FC,pvalue,RA,tax,level
ASV153,4.561764747,-0.322407372,0.910334125,0.11,Others,NonSig
ASV154,0.789418498,0.377075968,0.920117259,0.11,Comamonadaceae,NonSig
ASV156,7.202046512,-3.199979143,0.013574002,0.2,Rhizobiaceae,Depleted
ASV16,84.67133645,-1.349715272,5.19E-07,2.31,Comamonadaceae,Depleted
ASV162,7.716366823,1.511711412,0.105861172,0.21,Others,NonSig
ASV165,8.56475568,-0.533176103,0.8520832,0.23,Pseudonocardiaceae,NonSig
ASV166,4.538257516,-2.312063631,0.01315981,0.13,Xanthomonadaceae,Depleted
ASV168,2.566483712,-3.269055516,0.006758485,0.07,Bacillaceae,Depleted
ASV171,4.952243209,-3.399491363,0.007046336,0.14,Caulobacteraceae,Depleted
ASV172,4.041890354,0.890696244,0.358573158,0.1,Others,NonSig
ASV173,4.798988639,-2.181154952,0.025656643,0.13,Nocardioidaceae,Depleted
ASV174,0.93784864,0.994012208,0.792251613,0.07,Sphingomonadaceae,NonSig
ASV177,4.489935846,-1.122595395,0.247104619,0.12,Others,NonSig
ASV180,4.038860237,-1.612597222,0.135842206,0.11,Devosiaceae,NonSig
ASV181,4.681025475,0.288025755,0.870744713,0.11,Others,NonSig
ASV182,7.166801985,3.256490155,0.00272738,0.21,Others,Enrich
ASV183,4.975180412,0.693815127,0.701791478,0.11,Comamonadaceae,NonSig
ASV184,3.598119025,-1.707738179,0.24102206,0.09,Others,NonSig
ASV185,2.358762491,2.85308673,0.105861172,0.07,Others,NonSig
ASV186,4.985912864,5.778199745,0.00272738,0.14,Comamonadaceae,NonSig
ASV187,3.223552587,5.144792328,0.177161126,0.06,Rhizobiaceae,NonSig
ASV189,5.17563348,0.831909603,0.711282771,0.14,Streptomycetaceae,NonSig
ASV19,76.56418629,0.157821235,0.753610501,1.89,Sphingomonadaceae,NonSig
ASV191,3.983897481,-1.387925234,0.182428208,0.1,Comamonadaceae,NonSig
ASV192,2.836755268,-1.238418165,0.162915109,0.07,Rhizobiaceae,NonSig
ASV193,3.154733735,-1.174735428,0.580119607,0.09,Paenibacillaceae,NonSig
ASV194,4.212151351,-0.987997395,0.57493193,0.11,Chitinophagaceae,NonSig
ASV195,1.435827621,0.114660221,0.988488787,0.09,Others,NonSig
ASV197,4.027761048,-0.075065191,0.988488787,0.1,Sphingomonadaceae,NonSig
ASV198,1.950057167,4.11508729,0.096672413,0.04,Others,NonSig
ASV199,2.074334534,-4.544072729,0.002537056,0.06,Paenibacillaceae,NonSig
ASV2,202.6167848,3.351235345,3.61E-24,4.52,Pseudomonadaceae,Enrich
ASV200,4.401519675,0.359044524,0.854285558,0.12,Paenibacillaceae,NonSig
ASV201,4.082614556,-1.017368233,0.247104619,0.11,Others,NonSig
ASV202,2.818802185,1.188097507,0.508770258,0.06,Others,NonSig
ASV204,4.374979504,0.25161779,0.794126843,0.12,Chitinophagaceae,NonSig
ASV205,4.234662789,-0.163974653,0.851875887,0.11,Rhizobiaceae,NonSig
ASV206,3.542577496,-2.602739304,0.00295764,0.1,Paenibacillaceae,Depleted
ASV207,1.943051012,-1.299269985,0.505311326,0.05,Chitinophagaceae,NonSig
ASV209,3.657244534,-1.520695507,0.036850043,0.1,Comamonadaceae,Depleted
ASV211,3.6318784,-0.868681046,0.575801356,0.09,Xanthomonadaceae,NonSig
ASV213,2.501833053,-0.981186984,0.271200161,0.07,Devosiaceae,NonSig
ASV216,0.820193894,1.208726656,0.646886613,0.02,Others,NonSig
ASV217,3.384324897,-1.036908377,0.516895843,0.08,Paenibacillaceae,NonSig
ASV218,3.064539642,-4.616592685,1.02E-06,0.09,Others,Depleted
ASV22,70.93732153,-0.062889568,0.906771653,1.86,Rhizobiaceae,NonSig
ASV220,3.21062202,-0.925634815,0.754537274,0.09,Nocardioidaceae,NonSig
ASV222,1.764425794,4.27820075,0.182428208,0.06,Devosiaceae,NonSig
ASV223,4.777032385,-0.169431987,0.967282572,0.14,Pseudonocardiaceae,NonSig
ASV224,3.849283282,-1.189449679,0.620014026,0.1,Rhizobiaceae,NonSig
ASV228,3.048716531,-0.559058744,0.844385579,0.09,Paenibacillaceae,NonSig
ASV229,3.092465501,-0.737026394,0.643869667,0.08,Others,NonSig
ASV23,67.01265075,-1.180512156,0.000113299,1.81,Xanthomonadaceae,Depleted
ASV230,2.265244835,-4.671403937,0.247104619,0.14,Caulobacteraceae,NonSig
ASV231,3.204961525,-0.011831352,0.994394661,0.09,Others,NonSig
ASV232,2.53051725,4.647337951,0.1124784,0.05,Microbacteriaceae,NonSig
ASV233,1.300034912,-0.832401851,0.8520832,0.04,Bacillaceae,NonSig
ASV235,3.240606247,2.33883811,0.013906905,0.08,Microbacteriaceae,Enrich
ASV236,2.849873564,-0.303582131,0.878340825,0.08,Devosiaceae,NonSig
ASV237,4.105443725,1.290200535,0.452577122,0.11,Comamonadaceae,NonSig
ASV238,1.865727129,-1.925910766,0.419266952,0.05,Chitinophagaceae,NonSig
ASV239,1.403446492,-3.421925066,0.00295764,0.04,Xanthomonadaceae,Depleted
ASV24,1.479327383,0.360271024,0.8520832,0.04,Others,NonSig
ASV242,2.202728766,1.631914332,0.326483374,0.06,Caulobacteraceae,NonSig
ASV243,2.908428441,-4.162501503,0.014550782,0.08,Paenibacillaceae,Depleted
ASV245,0.882436613,-0.488214953,0.8520832,0.02,Sphingomonadaceae,NonSig
ASV247,3.499514768,0.313992217,0.920117259,0.1,Bacillaceae,NonSig
ASV248,2.664624354,-1.728070897,0.373973256,0.07,Others,NonSig
ASV250,3.680714373,0.232193183,0.937272225,0.1,Caulobacteraceae,NonSig
ASV251,2.42898835,-4.291704266,0.069625952,0.07,Pseudonocardiaceae,NonSig
ASV252,2.068516663,-3.098333175,0.038865569,0.06,Others,Depleted
ASV256,3.060131263,0.043667814,0.988488787,0.09,Rhizobiaceae,NonSig
ASV258,1.34049597,0.416109097,0.78828184,0.03,Others,NonSig
ASV259,0.998258855,2.957036545,0.19026197,0.02,Microbacteriaceae,NonSig
ASV26,58.35287612,0.828724645,0.138888331,1.33,Microbacteriaceae,NonSig
ASV263,2.37640741,-2.348661827,0.074945913,0.07,Others,NonSig
ASV264,1.734300355,0.501981424,0.839021236,0.04,Chitinophagaceae,NonSig
ASV265,3.247123622,-1.03746806,0.464592554,0.09,Others,NonSig
ASV269,2.757694446,2.600411157,0.182428208,0.05,Others,NonSig
ASV27,22.70928821,-0.030579103,0.988488787,0.64,Pseudonocardiaceae,NonSig
ASV270,2.232860319,-1.657791934,0.160980639,0.06,Bacillaceae,NonSig
ASV273,1.926915056,-1.442672395,0.54168475,0.05,Paenibacillaceae,NonSig
ASV274,2.309519436,-0.789418922,0.464592554,0.06,Paenibacillaceae,NonSig
ASV276,0.927559895,-3.382837268,0.247104619,0.03,Chitinophagaceae,NonSig
ASV279,3.460620337,1.563647001,0.150311566,0.1,Others,NonSig
ASV28,41.46124241,2.028560999,0.038865569,0.85,Alcaligenaceae,Enrich
ASV281,2.321282892,0.023376391,0.994394661,0.06,Others,NonSig
ASV282,2.732538115,0.114788879,0.967282572,0.08,Others,NonSig
ASV284,1.666755399,-1.535917678,0.259519843,0.04,Caulobacteraceae,NonSig
ASV285,2.551175998,-3.086029421,0.084363371,0.07,Paenibacillaceae,NonSig
ASV286,2.057511242,0.611261087,0.797309013,0.06,Rhizobiaceae,NonSig
ASV287,3.492761505,0.203186879,0.958647441,0.1,Others,NonSig
ASV288,2.779656745,-1.181623154,0.416096241,0.08,Sphingomonadaceae,NonSig
ASV29,0.941583662,3.212449276,0.284106578,0.03,Others,NonSig
ASV291,2.610892019,-3.093244848,0.004218557,0.07,Sphingomonadaceae,Depleted
ASV292,2.408495345,-0.518751327,0.870608553,0.07,Others,NonSig
ASV294,1.930461518,-0.802579033,0.740572856,0.05,Others,NonSig
ASV295,1.065838021,3.553763921,0.238198237,0.03,Others,NonSig
ASV297,1.721331524,3.31350833,0.284106578,0.03,Others,NonSig
ASV298,1.887721412,-3.889555334,0.003500691,0.05,Comamonadaceae,Depleted
ASV301,1.251947592,-0.340837271,0.920117259,0.05,Others,NonSig
ASV303,3.386335266,-0.668678952,0.787929506,0.09,Xanthomonadaceae,NonSig
ASV304,2.237289077,0.169378557,0.958647441,0.06,Rhizobiaceae,NonSig
ASV305,2.157151896,0.970009169,0.359979823,0.06,Others,NonSig
ASV306,2.060862543,-4.403011128,0.010645079,0.06,Paenibacillaceae,NonSig
ASV307,1.097745723,3.442393219,0.124875549,0.03,Others,NonSig
ASV309,1.1007194,3.590018979,0.39661513,0.03,Alcaligenaceae,NonSig
ASV31,11.61074463,-0.580012591,0.128983718,0.32,Others,NonSig
ASV310,1.025946211,1.964555453,0.247104619,0.02,Pseudomonadaceae,NonSig
ASV312,1.510710942,-3.466617842,0.042038249,0.04,Paenibacillaceae,Depleted
ASV314,1.90556167,-0.873731704,0.767936485,0.04,Caulobacteraceae,NonSig
ASV315,2.209612432,-2.45671494,0.259519843,0.07,Nocardioidaceae,NonSig
ASV316,1.945552735,-0.033530045,0.988488787,0.05,Bacillaceae,NonSig
ASV317,1.58214391,-4.018315904,0.00372704,0.04,Nocardioidaceae,Depleted
ASV318,2.023051991,2.493504917,0.098853772,0.04,Others,NonSig
ASV32,31.4666186,2.955048865,0.010645079,0.6,Others,Enrich
ASV320,1.667131178,-2.517561194,0.003117422,0.05,Others,Depleted
ASV321,2.073392543,0.063745362,0.99092135,0.05,Paenibacillaceae,NonSig
ASV322,3.472804662,5.256684484,0.012669099,0.1,Streptomycetaceae,NonSig
ASV323,1.910948145,4.383116058,0.067139799,0.03,Alcaligenaceae,NonSig
ASV324,2.160942535,-2.472518953,0.247104619,0.06,Others,NonSig
ASV326,1.167968912,-1.590277638,0.373067866,0.03,Sphingomonadaceae,NonSig
ASV328,1.034846492,-2.453200172,0.096672413,0.03,Sphingomonadaceae,NonSig
ASV329,1.747214697,-2.056409079,0.039457651,0.05,Devosiaceae,Depleted
ASV33,62.14679926,3.984473471,0.00295764,1.29,Comamonadaceae,Enrich
ASV331,1.393909511,0.349744772,0.908901658,0.06,Microbacteriaceae,NonSig
ASV333,1.889005085,0.660166325,0.843065369,0.05,Others,NonSig
ASV334,1.22980504,-1.117735728,0.767936485,0.04,Paenibacillaceae,NonSig
ASV337,1.603597138,0.25674117,0.916332984,0.04,Sphingomonadaceae,NonSig
ASV34,15.92506083,0.187574822,0.958647441,0.37,Others,NonSig
ASV340,1.474960665,3.099254281,0.182428208,0.04,Pseudomonadaceae,NonSig
ASV346,0.838894684,3.198219315,0.407314477,0.02,Microbacteriaceae,NonSig
ASV347,3.37612146,2.797982843,0.094079492,0.09,Rhizobiaceae,NonSig
ASV348,1.590099391,-2.004476819,0.182428208,0.04,Paenibacillaceae,NonSig
ASV35,45.8958518,2.304359504,0.003500691,0.94,Comamonadaceae,Enrich
ASV352,1.870819809,-2.644027554,0.01315981,0.05,Xanthomonadaceae,Depleted
ASV353,1.34915484,-1.848450792,0.181301044,0.04,Comamonadaceae,NonSig
ASV354,1.668748145,-2.352291326,0.419266952,0.05,Paenibacillaceae,NonSig
ASV355,0.921678969,-1.734617672,0.488116006,0.03,Others,NonSig
ASV356,0.72620093,1.560971212,0.634210428,0.05,Others,NonSig
ASV357,1.082641437,-2.105957317,0.233226162,0.03,Paenibacillaceae,NonSig
ASV358,1.341162084,-1.757331216,0.416096241,0.04,Paenibacillaceae,NonSig
ASV36,29.7718244,-0.63448649,0.067179582,1.09,Devosiaceae,NonSig
ASV361,1.305163835,0.291864377,0.949429298,0.03,Microbacteriaceae,NonSig
ASV367,1.116442663,-2.936431033,0.238198237,0.03,Microbacteriaceae,NonSig
ASV369,2.053847344,-0.030654288,0.993406463,0.05,Others,NonSig
ASV370,1.391661003,-3.556768988,0.003378415,0.04,Xanthomonadaceae,Depleted
ASV371,0.933031637,-3.07168725,0.036811965,0.03,Caulobacteraceae,Depleted
ASV374,1.351979583,0.871364144,0.711282771,0.03,Microbacteriaceae,NonSig
ASV376,2.10889847,0.577587862,0.753610501,0.06,Others,NonSig
ASV378,0.887642338,-2.139014033,0.140690611,0.03,Paenibacillaceae,NonSig
ASV379,1.759452162,-4.305870322,0.173218756,0.05,Others,NonSig
ASV38,48.11111294,-0.716015601,0.022531084,1.29,Paenibacillaceae,NonSig
ASV380,0.935988283,-1.955108508,0.508770258,0.03,Caulobacteraceae,NonSig
ASV383,1.43539589,2.001507009,0.333454261,0.03,Microbacteriaceae,NonSig
ASV385,1.031473437,-3.077666965,0.247104619,0.03,Paenibacillaceae,NonSig
ASV387,1.532993357,-4.107012344,0.19026197,0.04,Sphingomonadaceae,NonSig
ASV388,1.676246221,4.200287975,0.247104619,0.03,Rhizobiaceae,NonSig
ASV39,3.814953671,0.011988699,0.994394661,1.23,Streptomycetaceae,NonSig
ASV390,1.34089826,-2.353434807,0.094079492,0.04,Devosiaceae,NonSig
ASV394,1.855413512,0.937491872,0.711282771,0.05,Sphingomonadaceae,NonSig
ASV395,1.232475591,-1.537367484,0.247104619,0.03,Caulobacteraceae,NonSig
ASV399,1.71048451,-1.260084428,0.646153784,0.05,Paenibacillaceae,NonSig
ASV40,27.04883458,0.776324082,0.275393607,0.69,Microbacteriaceae,NonSig
ASV401,1.194737251,-2.087470302,0.124875549,0.03,Devosiaceae,NonSig
ASV407,0.985881383,-2.258809524,0.096672413,0.03,Others,NonSig
ASV408,1.07523379,-3.16146308,0.050425121,0.03,Chitinophagaceae,NonSig
ASV409,0.79536343,0.217858875,0.959472121,0.02,Caulobacteraceae,NonSig
ASV412,0.855512906,0.114147889,0.988488787,0.02,Others,NonSig
ASV414,0.724256955,2.986866437,0.44224527,0.01,Rhizobiaceae,NonSig
ASV42,38.77069239,1.601518892,0.252922037,1.05,Streptomycetaceae,NonSig
ASV420,1.066760965,-2.69506109,0.06265962,0.03,Paenibacillaceae,NonSig
ASV425,1.004252193,-2.449055108,0.039457651,0.03,Devosiaceae,Depleted
ASV43,22.19099244,-1.435090414,0.00598687,0.62,Sphingomonadaceae,Depleted
ASV430,1.194872492,-1.602554165,0.373973256,0.03,Microbacteriaceae,NonSig
ASV433,1.909608375,2.304348016,0.326992284,0.06,Rhizobiaceae,NonSig
ASV436,1.537626567,0.277570869,0.901956672,0.04,Chitinophagaceae,NonSig
ASV437,0.963186828,-2.550695307,0.359979823,0.03,Paenibacillaceae,NonSig
ASV439,1.397450642,-3.973610452,0.117239836,0.04,Sphingomonadaceae,NonSig
ASV44,21.59836463,2.105047452,0.038865569,0.51,Alcaligenaceae,Enrich
ASV441,1.503474377,0.99697284,0.493094566,0.04,Others,NonSig
ASV442,1.351438239,-0.366805485,0.873685805,0.04,Rhizobiaceae,NonSig
ASV444,1.628428472,1.236489618,0.424007308,0.04,Others,NonSig
ASV445,1.226134343,0.137593446,0.967282572,0.03,Sphingomonadaceae,NonSig
ASV446,0.805309581,1.032782881,0.690328237,0.02,Others,NonSig
ASV448,1.346698923,-1.48440846,0.511464178,0.04,Sphingomonadaceae,NonSig
ASV45,66.8566183,4.46083007,0.00023166,1.79,Pseudonocardiaceae,Enrich
ASV454,1.236251298,1.437685936,0.144393934,0.03,Others,NonSig
ASV46,2.174613205,-2.219429852,0.400869253,0.45,Others,NonSig
ASV462,1.572585373,-0.572993667,0.794126843,0.04,Others,NonSig
ASV463,0.768371059,-3.109781542,0.142909234,0.02,Paenibacillaceae,NonSig
ASV465,0.94276355,-1.787696236,0.19026197,0.03,Caulobacteraceae,NonSig
ASV468,1.326579411,0.386369574,0.8520832,0.04,Others,NonSig
ASV469,1.195120381,1.504488954,0.373067866,0.03,Bacillaceae,NonSig
ASV47,13.12292864,0.678036661,0.8520832,0.29,Others,NonSig
ASV472,0.766056051,-2.787298484,0.138888331,0.02,Others,NonSig
ASV474,0.728036214,0.571124585,0.927966011,0.03,Paenibacillaceae,NonSig
ASV476,1.130488946,-2.380132352,0.087409792,0.03,Others,NonSig
ASV477,1.163114961,-1.601033356,0.583370182,0.04,Pseudonocardiaceae,NonSig
ASV478,1.586072435,4.119596078,0.160980639,0.03,Comamonadaceae,NonSig
ASV482,0.856332998,3.228494089,0.400869253,0.02,Pseudomonadaceae,NonSig
ASV485,0.80591928,-2.100667377,0.140690611,0.02,Others,NonSig
ASV488,0.756612869,-0.963084536,0.822837061,0.04,Others,NonSig
ASV490,1.101662831,-2.728042991,0.010980766,0.03,Others,Depleted
ASV492,1.24428934,1.378012047,0.593743541,0.03,Others,NonSig
ASV495,1.246884198,0.062226171,0.988488787,0.03,Nocardioidaceae,NonSig
ASV496,1.548944945,0.888912612,0.704019481,0.04,Microbacteriaceae,NonSig
ASV5,421.9053691,1.556083108,0.001501737,9.91,Rhizobiaceae,Enrich
ASV50,1.96042962,-0.743071781,0.775483826,0.05,Rhizobiaceae,NonSig
ASV501,0.779499382,-2.816685052,0.191270271,0.02,Paenibacillaceae,NonSig
ASV502,1.259419699,-1.895934637,0.341103896,0.04,Others,NonSig
ASV505,0.847267907,-3.251062998,0.333454261,0.02,Comamonadaceae,NonSig
ASV506,0.921599204,-0.769879893,0.604759494,0.03,Others,NonSig
ASV508,0.974284486,-1.080268718,0.527110247,0.03,Others,NonSig
ASV509,0.969064168,-3.286997489,0.022702735,0.03,Sphingomonadaceae,Depleted
ASV51,36.06197052,-2.584066164,0.039331631,0.98,Sphingomonadaceae,Depleted
ASV510,1.053661336,-2.82460093,0.035750007,0.03,Others,Depleted
ASV511,1.100684141,-2.126438274,0.416096241,0.03,Others,NonSig
ASV512,1.160249651,-0.30877448,0.955559459,0.03,Others,NonSig
ASV513,1.211559132,-0.950385671,0.787929506,0.04,Paenibacillaceae,NonSig
ASV518,1.333446729,-0.406746006,0.924257265,0.04,Paenibacillaceae,NonSig
ASV521,1.128679096,1.627022141,0.415670029,0.03,Others,NonSig
ASV522,0.923730783,-2.891669848,0.341103896,0.03,Paenibacillaceae,NonSig
ASV524,0.793829057,-1.936581046,0.704019481,0.05,Microbacteriaceae,NonSig
ASV526,0.862555382,2.54781208,0.416096241,0.02,Others,NonSig
ASV529,1.165669851,0.693640991,0.779009038,0.03,Others,NonSig
ASV53,27.57525757,-3.098545559,4.41E-05,0.76,Caulobacteraceae,Depleted
ASV530,1.059253182,-0.57032952,0.7509034,0.03,Others,NonSig
ASV532,0.766966122,3.067456901,0.373067866,0.02,Others,NonSig
ASV533,0.803626233,-0.631270163,0.797309013,0.02,Others,NonSig
ASV534,0.857869549,3.241970674,0.400869253,0.04,Others,NonSig
ASV539,0.721680193,-0.861872254,0.82737281,0.02,Others,NonSig
ASV540,0.924508264,1.393076586,0.539934694,0.02,Rhizobiaceae,NonSig
ASV549,1.051584763,0.009209418,0.994394661,0.03,Others,NonSig
ASV55,17.88056112,2.120381845,0.166515668,0.53,Alcaligenaceae,NonSig
ASV550,0.75008487,3.046660065,0.428927297,0.04,Chitinophagaceae,NonSig
ASV553,1.085770519,-0.58617724,0.8520832,0.03,Others,NonSig
ASV559,0.935564305,-1.521409221,0.604394305,0.02,Others,NonSig
ASV56,8.913496325,2.712540128,0.094079492,0.27,Streptomycetaceae,NonSig
ASV560,0.713192146,0.019723525,0.994394661,0.02,Nocardioidaceae,NonSig
ASV564,1.201101171,0.829149634,0.766878148,0.03,Others,NonSig
ASV567,0.785030535,-0.652590422,0.83338529,0.02,Others,NonSig
ASV569,0.975387888,-2.920134638,0.039331631,0.03,Others,Depleted
ASV57,1.107869546,-2.28369513,0.247104619,0.81,Others,NonSig
ASV570,0.949215968,-3.416244666,0.006758485,0.03,Nocardioidaceae,Depleted
ASV577,0.928406601,-1.959951263,0.287157828,0.03,Others,NonSig
ASV578,0.805144814,2.962735823,0.39661513,0.01,Others,NonSig
ASV58,19.46654485,-0.043957169,0.988488787,0.45,Others,NonSig
ASV580,0.774391524,-0.184911677,0.967282572,0.02,Sphingomonadaceae,NonSig
ASV583,0.808798494,-1.150449023,0.703402073,0.02,Paenibacillaceae,NonSig
ASV59,21.63119513,23.84100364,1.32E-35,0.67,Streptomycetaceae,Enrich
ASV611,0.772735675,-2.798855352,0.359979823,0.02,Caulobacteraceae,NonSig
ASV612,0.929638899,-1.476788233,0.341103896,0.03,Others,NonSig
ASV615,0.859537439,-0.612350322,0.910334125,0.03,Bacillaceae,NonSig
ASV62,6.398339688,1.263593064,0.340972502,0.15,Others,NonSig
ASV620,0.752756892,-2.735291386,0.172274522,0.02,Others,NonSig
ASV633,0.834394385,0.931597206,0.711282771,0.02,Others,NonSig
ASV638,0.88166011,-2.852688039,0.247104619,0.03,Chitinophagaceae,NonSig
ASV641,1.03416825,3.506791632,0.358573158,0.02,Devosiaceae,NonSig
ASV645,1.085304086,-0.839720036,0.690495635,0.03,Caulobacteraceae,NonSig
ASV647,0.874072426,-1.93378662,0.419514237,0.02,Microbacteriaceae,NonSig
ASV658,0.727153344,1.907758145,0.580119607,0.01,Comamonadaceae,NonSig
ASV66,19.399955,-0.623381932,0.142909234,0.5,Sphingomonadaceae,NonSig
ASV67,18.49127325,-2.568926776,4.81E-11,0.52,Microbacteriaceae,Depleted
ASV69,21.15683992,1.365060847,0.071621369,0.51,Rhizobiaceae,NonSig
ASV7,377.5498134,0.716595848,0.099819433,9.39,Sphingomonadaceae,NonSig
ASV707,0.777410209,0.31737748,0.953125138,0.02,Caulobacteraceae,NonSig
ASV71,18.14613928,1.596053611,0.004766198,0.39,Rhizobiaceae,Enrich
ASV722,0.744901864,1.215079491,0.791660764,0.02,Paenibacillaceae,NonSig
ASV73,13.82722779,-3.507923702,0.001035739,0.41,Caulobacteraceae,Depleted
ASV74,13.62127751,-0.207325881,0.787929506,0.36,Others,NonSig
ASV75,15.8631325,-1.976146161,0.000223793,0.44,Others,Depleted
ASV77,24.24218599,0.757186298,0.5686323,0.65,Others,NonSig
ASV78,0.923410452,1.380741079,0.6554337,0.02,Streptomycetaceae,NonSig
ASV79,11.6642141,0.226880453,0.949429298,0.63,Others,NonSig
ASV8,207.7018033,-1.173554502,0.000895546,5.59,Sphingomonadaceae,Depleted
ASV80,4.49576456,2.205080599,0.05470826,0.12,Rhizobiaceae,NonSig
ASV81,15.59768889,-2.324974628,0.000113299,0.46,Nocardioidaceae,Depleted
ASV827,0.807466978,3.150684165,0.415670029,0.02,Others,NonSig
ASV84,19.2878025,1.301737449,0.321433441,0.5,Comamonadaceae,NonSig
ASV85,18.5130952,1.277780325,0.238198237,0.49,Rhizobiaceae,NonSig
ASV86,1.917026354,3.03910715,0.287157828,0.05,Alcaligenaceae,NonSig
ASV87,18.56812945,23.62319784,1.14E-20,0.46,Pseudomonadaceae,Enrich
ASV88,12.94638768,-2.663805198,0.009183615,0.35,Sphingomonadaceae,Depleted
ASV9,6.727005667,3.498608792,0.067139799,0.28,Others,NonSig
ASV90,12.83987557,-0.711701395,0.431964749,0.35,Sphingomonadaceae,NonSig
ASV91,9.397863856,-1.298186327,0.110974731,0.24,Others,NonSig
ASV93,9.971575504,-1.2309002,0.39661513,0.25,Rhizobiaceae,NonSig
ASV96,10.08580762,1.318570641,0.160944715,0.23,Rhizobiaceae,NonSig
ASV98,11.85767565,1.368523128,0.016415456,0.31,Rhizobiaceae,Enrich
ASV99,15.12461179,0.919962939,0.351391143,0.41,Paenibacillaceae,NonSig
